season,tea_kind,code,replication,polyphenol,FAA,Theanine,caffeine,Gallic Acid,C,GC,EGC,EC,EGCG,GCG,ECG,total_catechins,sample_label
3rd,black tea,DP,1,35.11,8.43,1.79,13.75,2.05,0,0.62,0,0,0,0,0,0.62,2
3rd,black tea,DP,2,31.57,8.18,1.87,13.36,2.05,0,0.61,0,0,0,0,0,0.61,2
3rd,black tea,DP,1,36.02,8.9,1.88,13.76,2.05,0,0.63,0,0,0,0,0,0.63,3
3rd,black tea,DP,2,34.75,8.56,1.87,13.69,2.08,0,0.63,0,0,0,0,0,0.63,3
3rd,black tea,FS,1,37.83,25.16,9.42,15.92,2.18,0,0.95,0,0,0,0,0,0.95,1
3rd,black tea,FS,2,38.01,24.67,9.37,15.94,2.18,0,0.92,0,0,0,0,0,0.92,1
3rd,black tea,FS,1,39.76,26.8,10.9,16.7,2.28,0,1,0,0,0,0,0,1,2
3rd,black tea,FS,2,36.46,26.62,9.59,16.05,2.25,0,0.98,0,0,0,0,0,0.98,2
3rd,black tea,FS,1,39.9,25.72,10.81,17.02,2.29,0,1.07,0,0,0,0,0,1.07,3
3rd,black tea,FS,2,38.28,26.61,10.68,16.63,2.3,0,1,0,0,0,0,0,1,3
3rd,green tea,T8,1,57.54,31.82,25.18,19.71,3.31,0.03,0.61,30.96,4.53,61.11,5.61,9.16,112.01,1
3rd,green tea,T8,2,53.66,35.05,25.4,18.91,3.21,0.01,0.58,28.47,4.06,59.12,5.26,8.85,106.36,1
3rd,green tea,T8,1,57.63,32.66,27.2,20.77,3.57,0.01,0.6,30.41,4.26,64.01,5.15,9.26,113.7,2
3rd,green tea,T8,2,49.32,30.47,24.97,19.47,3.41,0.01,0.55,27.21,3.89,56.38,4.15,8.4,100.58,2
3rd,green tea,T8,1,59.96,32.2,25.85,21.07,3.52,0.02,0.62,31.91,4.56,66.94,5.59,9.82,119.46,3
3rd,green tea,T8,2,59.01,32.2,25.92,20.85,3.52,0.02,0.62,31.84,4.54,67.08,5.55,9.84,119.49,3
3rd,black tea,T12,1,29.25,26.24,3.12,16.82,2.13,0,13.55,0,0,0,0,0,13.55,1
3rd,black tea,T12,2,30.7,26.25,3.22,17.14,2.17,0,13.73,0,0,0,0,0,13.73,1
3rd,black tea,T12,1,30.41,29.73,3.75,17.05,2.04,0,13.82,0,0,0,0,0,13.82,2
3rd,black tea,T12,2,31.02,25.99,3.8,16.83,2.03,0,13.79,0,0,0,0,0,13.79,2
3rd,black tea,T12,1,30.81,26.01,3.26,17.38,2.26,0,14.04,0,0,0,0,0,14.04,3
3rd,black tea,T12,2,32.31,25.79,3.27,17.65,2.26,0,14.22,0,0,0,0,0,14.22,3
3rd,black tea,T17,1,47.33,18.11,4.39,21,2.49,0,20.72,0,0,0,0,0,20.72,1
3rd,black tea,T17,2,46.34,16.77,4.32,21.05,2.5,0,20.51,0,0,0,0,0,20.51,1
3rd,black tea,T17,1,45.2,15.56,4.39,20.68,2.47,0,18.8,0,0,0,0,0,18.8,2
3rd,black tea,T17,2,45.99,17.13,4.41,20.93,2.48,0,20.66,0,0,0,0,0,20.66,2
3rd,black tea,T17,1,44.4,14.7,4.37,20.71,2.5,0,20.44,0,0,0,0,0,20.44,3
3rd,black tea,T17,2,46.3,16.23,4.27,20.92,2.48,0,20.41,0,0,0,0,0,20.41,3
3rd,black tea,T18,1,60.25,29.45,14.27,24.66,3.14,0,18.88,0,0,0,0,0,18.88,1
3rd,black tea,T18,2,58.29,30.41,14.01,24.15,3.12,0,18.69,0,0,0,0,0,18.69,1
3rd,black tea,T18,1,57.65,29.98,13.74,24.06,3.16,0,18.72,0,0,0,0,0,18.72,2
3rd,black tea,T18,2,58.85,31.02,13.88,24.09,3.11,0,17.8,0,0,0,0,0,17.8,2
3rd,black tea,T18,1,56.86,29.96,13.96,23.66,3.14,0,12.62,0,0,0,0,0,12.62,3
3rd,black tea,T18,2,58.74,29.49,13.96,23.91,3.12,0,19.09,0,0,0,0,0,19.09,3
3rd,black tea,T20,1,38.72,17.58,3.28,15.38,1.88,0,12.81,0,0,0,0,0,12.81,1
3rd,black tea,T20,2,35.74,18.01,3.17,15,1.9,0,11.81,0,0,0,0,0,11.81,1
3rd,black tea,T20,1,36.54,17.06,3.3,15.06,1.93,0,12.61,0,0,0,0,0,12.61,2
3rd,black tea,T20,2,37.45,17.12,3.17,15.33,1.93,0,12.42,0,0,0,0,0,12.42,2
3rd,black tea,T20,1,37.23,15.67,3.32,15.4,1.94,0,12.47,0,0,0,0,0,12.47,3
3rd,black tea,T20,2,36.42,16.9,3.14,15.04,1.89,0,12.43,0,0,0,0,0,12.43,3
4th,fresh leaves,FS,1,75.70184732,24.92748177,13.39962615,14.96634006,0.987885255,8.11E-02,5.176420698,12.78782406,4.61600674,29.49554495,2.694861889,7.18704705,62.03877296,1
4th,fresh leaves,FS,2,78.43336518,24.51577177,13.47138118,14.79132285,1.002174114,8.11E-02,5.247485419,13.00686452,4.59836575,29.22797657,2.943465034,7.071547805,62.1768051,1
4th,fresh leaves,FS,1,65.36107194,25.05848475,13.21594218,13.33330502,0.759271553,8.10E-02,5.371218789,12.82035763,4.171870236,28.0874841,2.831072126,6.361522066,59.72456012,2
4th,fresh leaves,FS,2,71.10248883,25.07197845,14.27351526,13.36918758,0.764006488,8.10E-02,5.670639047,13.26733688,4.628265273,27.62204853,2.84336794,6.108420951,60.22108142,2
4th,fresh leaves,FS,1,78.64406235,26.35620479,13.78765582,14.1083044,0.633083511,8.09E-02,5.773470852,13.97585475,4.368522948,31.02924639,3.092452501,6.724421491,65.04490705,3
4th,fresh leaves,FS,2,75.00027083,25.83656582,13.83670653,13.86053139,0.618372761,8.12E-02,5.599417429,13.63635626,4.380336094,30.03262512,2.932983259,6.556511471,63.21939457,3
4th,fresh leaves,T8,1,112.0847443,22.06429369,9.376158253,21.9587959,1.067094298,1.96E-02,9.478526543,25.69747582,3.397941988,65.66563202,5.516648364,10.61080239,120.3866482,1
4th,fresh leaves,T8,2,113.5443165,22.49404118,9.560975386,21.43476674,1.072594246,2.40E-02,9.627589706,25.81485315,3.510873301,63.40265179,5.703471794,10.13146221,118.2149381,1
4th,fresh leaves,T8,1,89.75016898,29.13155892,11.86052283,17.0077925,1.068076984,2.04E-02,8.234893779,22.38818625,3.087346371,48.36566194,5.900125764,8.056253952,96.05284292,2
4th,fresh leaves,T8,2,94.16413077,28.74303665,12.36931658,17.36732933,1.085683926,2.13E-02,8.518905468,22.74186818,3.083970728,50.3990949,6.200308321,8.483387918,99.44884589,2
4th,fresh leaves,T8,1,112.1507234,30.56041005,12.97610973,21.06400588,0.982382309,1.84E-02,9.316963304,24.44768941,3.357422459,62.93194091,5.428247438,9.772008734,115.2726954,3
4th,fresh leaves,T8,2,110.3325536,30.25421639,13.13763626,20.97267471,1.007599636,1.79E-02,9.303459758,24.31021869,3.276568928,61.58000973,5.571578215,9.688448587,113.7481398,3
4th,fresh leaves,T12,1,60.93500081,21.52261733,9.04838267,14.35648398,0.853119672,8.11E-02,9.845419938,14.75376406,3.517352298,22.59520945,2.48884252,4.404965073,57.68665334,1
4th,fresh leaves,T12,2,64.93412559,21.93200223,8.857126393,14.29614871,0.83605998,8.11E-02,9.864248626,14.91093314,3.772270651,23.20176722,2.737061152,4.61442029,59.18176865,1
4th,fresh leaves,T12,1,59.50917568,22.66906415,9.330409027,13.65018987,0.722760106,8.11E-02,5.620073595,13.75134789,3.108144499,21.61061346,2.4409824,4.445630886,51.05789273,2
