year,season,tea_kind,code,sample_label,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
108,2nd,black tea,T12,2,72.36550282,20.02813338,1.462526655,14.92673644,2.242329739,0.475540773,0.729974037,8.910838176,0,2.62161734,0,1.023792996,NA,13.76176332
108,2nd,black tea,T12,3,71.42630915,19.83522514,1.435907137,15.27989438,2.261757618,0.748220434,0.763676649,10.44982766,0,2.824775438,0,1.131355953,NA,15.91785614
108,2nd,black tea,T17,1,34.0484272,17.35865817,0.88113645,21.64872169,2.573380993,0,0,11.97013765,0,0,0,0,NA,11.97013765
108,2nd,black tea,T17,2,32.18480561,17.1946933,0.90124506,22.20240607,2.627300941,0,0,14.41272398,0,0,0,0,NA,14.41272398
108,2nd,black tea,T17,3,33.7418517,16.66720879,0.445940429,22.19367881,2.632361288,0,0,10.77595703,0,0,0,0,NA,10.77595703
108,2nd,green tea,T18,1,137.1315562,20.12171028,1.734321719,29.39664556,0.527302525,3.828421833,14.41004335,35.84897849,8.284603766,75.94664582,0,13.98891424,NA,152.3076075
108,2nd,green tea,T18,2,132.6141843,22.70831813,2.257165936,27.59462043,0.479821249,3.844255384,13.86153151,34.89207669,8.118008265,70.3576839,0,12.76589357,NA,143.8394493
108,2nd,green tea,T18,3,134.579272,21.73139527,2.206411257,28.44283307,0.512990325,3.871130367,13.95350575,35.12010257,8.328221156,73.18681833,0,13.39936485,NA,147.859143
108,2nd,black tea,T20,1,46.64999374,12.46638751,0.466453302,14.92415849,2.150707026,0,0,13.62054819,0,0,0,0,NA,13.62054819
108,2nd,black tea,T20,2,48.74746341,12.29488996,0.457164642,13.9960551,2.118958733,0,0,13.44522885,0,0,0,0,NA,13.44522885
108,2nd,black tea,T20,3,48.59107924,12.64923431,0.454446047,14.43683356,2.097495859,0,0,13.18723072,0,0,0,0,NA,13.18723072
108,3rd,fresh leaves,DP,1,66.015,9.625,4.315,13.05,0.58,1.25,6.88,22.95,4.845,30.33,3,5.05,NA,74.3
108,3rd,fresh leaves,DP,2,80.68,8.155,5.085,13.93,0.63,1.065,6.545,23.945,4.525,30.485,2.79,4.965,NA,74.32
108,3rd,fresh leaves,DP,3,56.725,8.095,3.7,11.85,0.495,1.02,6.46,22.33,4.425,28.33,2.695,4.645,NA,69.905
108,3rd,fresh leaves,FS,1,78.87,22.135,19.84,17.06,1.485,2.305,6.23,24.16,4.98,27.68,2.825,7.445,NA,75.63
108,3rd,fresh leaves,FS,2,83.005,27.13,19.205,19.275,1.735,2.045,5.775,24.605,4.04,27.895,2.58,7.77,NA,74.715
108,3rd,fresh leaves,FS,3,83.475,23.45,19.885,20.97,1.755,2.35,6.255,29.1,4.97,29.53,3.115,8.45,NA,83.765
108,3rd,fresh leaves,T8,1,95.6,23.155,20.515,17.16,0.98,1.52,9.83,25.91,3.51,45.25,3.435,7.8,NA,97.245
108,3rd,fresh leaves,T8,2,102.395,20.215,22.085,18.07,0.945,1.625,10.015,25.415,3.65,50.745,3.715,8.365,NA,103.53
108,3rd,fresh leaves,T8,3,115.19,18.43,17.855,17.57,0.78,1.695,12.325,32.87,4.78,53.915,3.995,8.79,NA,118.37
108,3rd,fresh leaves,T12,1,74.02,23.065,14.095,16.525,0.72,1.065,7.165,20.485,4.88,29.385,3.235,5.535,NA,71.745
108,3rd,fresh leaves,T12,2,62.095,21.52,12.825,16.22,0.735,1.03,6.62,18.81,4.58,28.305,2.945,5.37,NA,67.66
108,3rd,fresh leaves,T12,3,68.975,24.045,12.755,15.27,0.67,1.04,6.805,19.36,4.68,28.03,3.005,4.16,NA,67.075
108,3rd,fresh leaves,T17,1,91.67,12.175,7.825,17.485,1.02,2.015,8.13,30.255,5.52,35.25,3.525,8.135,NA,92.83
108,3rd,fresh leaves,T17,2,88.87,14.015,11.255,17.935,0.98,1.835,8.09,22.88,5.09,33.025,3.425,8.035,NA,82.38
