date,cultivar,location,season,cutting_height,replication,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100,sample_label
43584,台茶17號,3區,第二水,58,10,9.5,6,1.583333333,1,99,茶菁2
43584,台茶17號,3區,第二水,58,NA,5.88,4.4,1.310833333,0.5,99,茶菁2
43584,台茶17號,3區,第二水,58,11,5.5,5,1.1,1,114,茶菁3
43584,台茶17號,3區,第二水,58,12,14.4,6,2.4,1,114,茶菁3
43584,台茶17號,3區,第二水,58,13,12.8,5,2.56,0,114,茶菁3
43584,台茶17號,3區,第二水,58,14,5.5,4,1.375,0,114,茶菁3
43584,台茶17號,3區,第二水,58,15,9.2,5,1.84,0,114,茶菁3
43584,台茶17號,3區,第二水,58,16,7.3,6,1.216666667,1,114,茶菁3
43584,台茶17號,3區,第二水,58,17,7.6,5,1.52,1,114,茶菁3
43584,台茶17號,3區,第二水,58,18,7.3,5,1.46,1,114,茶菁3
43584,台茶17號,3區,第二水,58,19,5.5,4,1.375,1,114,茶菁3
43584,台茶17號,3區,第二水,58,20,1.6,2,0.8,1,114,茶菁3
43584,台茶17號,3區,第二水,58,NA,7.67,4.7,1.564666667,0.7,114,茶菁1
43584,台茶17號,3區,第二水,58,21,7.9,5,1.58,1,128,茶菁1
43584,台茶17號,3區,第二水,58,22,5.9,6,0.983333333,1,128,茶菁1
43584,台茶17號,3區,第二水,58,23,6,4,1.5,1,128,茶菁1
43584,台茶17號,3區,第二水,58,24,12.6,7,1.8,0,128,茶菁1
43584,台茶17號,3區,第二水,58,25,10,6,1.666666667,1,128,茶菁1
43584,台茶17號,3區,第二水,58,26,3.3,4,0.825,1,128,茶菁1
43584,台茶17號,3區,第二水,58,27,1.2,2,0.6,1,128,茶菁1
43584,台茶17號,3區,第二水,58,28,8.1,6,1.35,0,128,茶菁1
43584,台茶17號,3區,第二水,58,29,1.3,2,0.65,1,128,茶菁1
43584,台茶17號,3區,第二水,58,30,3.8,3,1.266666667,0,128,茶菁1
43584,台茶17號,3區,第二水,58,NA,6.01,4.5,1.222166667,0.7,128,茶菁1
43601,台茶18號,12月1日,第二水,58,1,6.9,3,2.3,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,2,22.3,7,3.185714286,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,3,15,5,3,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,4,3.4,4,0.85,1,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,5,18,6,3,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,6,13.2,5,2.64,1,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,7,11.6,4,2.9,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,8,11.5,4,2.875,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,9,26.3,7,3.757142857,0,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,10,8.2,4,2.05,1,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,NA,13.64,4.9,2.655785714,0.3,214.5,茶菁3
43601,台茶18號,12月1日,第二水,58,11,7.6,4,1.9,0,161,茶菁2
43601,台茶18號,12月1日,第二水,58,12,19.4,6,3.233333333,0,161,茶菁2
43601,台茶18號,12月1日,第二水,58,13,17.5,5,3.5,0,161,茶菁2
43601,台茶18號,12月1日,第二水,58,14,7.5,4,1.875,1,161,茶菁2
43601,台茶18號,12月1日,第二水,58,15,3,2,1.5,1,161,茶菁2
43601,台茶18號,12月1日,第二水,58,16,12.6,5,2.52,0,161,茶菁2
43601,台茶18號,12月1日,第二水,58,17,4.2,3,1.4,1,161,茶菁2
43601,台茶18號,12月1日,第二水,58,18,3.7,4,0.925,1,161,茶菁2
43601,台茶18號,12月1日,第二水,58,19,10.5,4,2.625,0,161,茶菁2
43601,台茶18號,12月1日,第二水,58,20,3.2,3,1.066666667,1,161,茶菁2
43601,台茶18號,12月1日,第二水,58,NA,8.92,4,2.0545,0.5,161,茶菁2
43601,台茶18號,12月1日,第二水,58,21,6,4,1.5,1,165,茶菁1
43601,台茶18號,12月1日,第二水,58,22,10.8,5,2.16,1,165,茶菁1
43601,台茶18號,12月1日,第二水,58,23,9.2,4,2.3,0,165,茶菁1
43601,台茶18號,12月1日,第二水,58,24,17,5,3.4,0,165,茶菁1
43601,台茶18號,12月1日,第二水,58,25,16.9,6,2.816666667,0,165,茶菁1
43601,台茶18號,12月1日,第二水,58,26,5.9,4,1.475,1,165,茶菁1
43601,台茶18號,12月1日,第二水,58,27,3.8,4,0.95,1,165,茶菁1
43601,台茶18號,12月1日,第二水,58,28,12.8,5,2.56,0,165,茶菁1
43601,台茶18號,12月1日,第二水,58,29,6.3,4,1.575,1,165,茶菁1
43601,台茶18號,12月1日,第二水,58,30,13.2,5,2.64,0,165,茶菁1
43601,台茶18號,12月1日,第二水,58,NA,10.19,4.6,2.137666667,0.5,165,茶菁1
43595,台茶20號,11月1日,第二水,57,1,2.8,3,0.933333333,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,2,16,5,3.2,0,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,3,7.5,3,2.5,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,4,10.3,4,2.575,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,5,3.2,3,1.066666667,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,6,12.6,5,2.52,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,7,19.5,7,2.785714286,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,8,7.6,4,1.9,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,9,6.4,4,1.6,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,10,10.9,5,2.18,1,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,NA,9.68,4.3,2.126071429,0.9,123.5,茶菁1
43595,台茶20號,11月1日,第二水,57,11,6.7,3,2.233333333,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,12,12.5,5,2.5,0,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,13,5.3,4,1.325,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,14,6.1,4,1.525,0,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,15,6.8,4,1.7,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,16,9.4,4,2.35,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,17,4.1,3,1.366666667,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,18,2.3,3,0.766666667,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,19,14.9,6,2.483333333,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,20,6,3,2,1,124.5,茶菁2
43595,台茶20號,11月1日,第二水,57,NA,7.41,3.9,1.825,0.8,124.5,茶菁3
43595,台茶20號,11月1日,第二水,57,21,4.6,3,1.533333333,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,22,10,5,2,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,23,10,4,2.5,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,24,18.8,6,3.133333333,0,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,25,7.7,3,2.566666667,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,26,6.5,3,2.166666667,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,27,1.5,2,0.75,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,28,4.7,3,1.566666667,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,29,12.1,6,2.016666667,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,30,12.8,5,2.56,1,138.5,茶菁3
43595,台茶20號,11月1日,第二水,57,NA,8.87,4,2.079333333,0.9,138.5,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,1,6.8,3,2.266666667,1,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,2,11.5,4,2.875,0,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,3,17.3,6,2.883333333,0,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,4,10.1,5,2.02,0,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,5,4,3,1.333333333,1,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,6,13.7,5,2.74,0,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,7,5,3,1.666666667,1,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,8,2.3,2,1.15,1,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,9,18,7,2.571428571,0,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,10,4.5,4,1.125,1,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,NA,9.32,4.2,2.063142857,0.5,127,茶菁3
43598,青心大冇,"9-2, 9-3",第二水,60,11,19.2,5,3.84,0,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,12,5.7,4,1.425,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,13,3.6,3,1.2,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,14,16.7,6,2.783333333,0,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,15,5.2,3,1.733333333,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,16,8.6,4,2.15,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,17,6.9,4,1.725,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,18,4,2,2,0,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,19,10,4,2.5,1,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,20,0.9,2,0.45,0,116,茶菁2
43598,青心大冇,"9-2, 9-3",第二水,60,NA,8.08,3.7,1.980666667,0.6,116,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,21,10.7,4,2.675,0,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,22,17.2,5,3.44,0,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,23,5.5,3,1.833333333,1,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,24,12.3,4,3.075,0,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,25,5.5,3,1.833333333,0,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,26,5,3,1.666666667,1,112,茶菁1
43598,青心大冇,"9-2, 9-3",第二水,60,27,7.2,3,2.4,1,112,茶菁1
