year,season,date,location,cultivar,sample_label,replication,cutting_height,tea_buds_cm,leaf_number,avg_inter_node,open_plane,buds_weight_100
108,2nd,43584,3區,T17,1,28,58,8.1,6,1.35,0,128
108,2nd,43584,3區,T17,1,29,58,1.3,2,0.65,1,128
108,2nd,43584,3區,T17,1,30,58,3.8,3,1.266666667,0,128
108,2nd,43601,12月1日,T18,3,1,58,6.9,3,2.3,0,214.5
108,2nd,43601,12月1日,T18,3,2,58,22.3,7,3.185714286,0,214.5
108,2nd,43601,12月1日,T18,3,3,58,15,5,3,0,214.5
108,2nd,43601,12月1日,T18,3,4,58,3.4,4,0.85,1,214.5
108,2nd,43601,12月1日,T18,3,5,58,18,6,3,0,214.5
108,2nd,43601,12月1日,T18,3,6,58,13.2,5,2.64,1,214.5
108,2nd,43601,12月1日,T18,3,7,58,11.6,4,2.9,0,214.5
108,2nd,43601,12月1日,T18,3,8,58,11.5,4,2.875,0,214.5
108,2nd,43601,12月1日,T18,3,9,58,26.3,7,3.757142857,0,214.5
108,2nd,43601,12月1日,T18,3,10,58,8.2,4,2.05,1,214.5
108,2nd,43601,12月1日,T18,2,11,58,7.6,4,1.9,0,161
108,2nd,43601,12月1日,T18,2,12,58,19.4,6,3.233333333,0,161
108,2nd,43601,12月1日,T18,2,13,58,17.5,5,3.5,0,161
108,2nd,43601,12月1日,T18,2,14,58,7.5,4,1.875,1,161
108,2nd,43601,12月1日,T18,2,15,58,3,2,1.5,1,161
108,2nd,43601,12月1日,T18,2,16,58,12.6,5,2.52,0,161
108,2nd,43601,12月1日,T18,2,17,58,4.2,3,1.4,1,161
108,2nd,43601,12月1日,T18,2,18,58,3.7,4,0.925,1,161
108,2nd,43601,12月1日,T18,2,19,58,10.5,4,2.625,0,161
108,2nd,43601,12月1日,T18,2,20,58,3.2,3,1.066666667,1,161
108,2nd,43601,12月1日,T18,1,21,58,6,4,1.5,1,165
108,2nd,43601,12月1日,T18,1,22,58,10.8,5,2.16,1,165
108,2nd,43601,12月1日,T18,1,23,58,9.2,4,2.3,0,165
108,2nd,43601,12月1日,T18,1,24,58,17,5,3.4,0,165
108,2nd,43601,12月1日,T18,1,25,58,16.9,6,2.816666667,0,165
108,2nd,43601,12月1日,T18,1,26,58,5.9,4,1.475,1,165
108,2nd,43601,12月1日,T18,1,27,58,3.8,4,0.95,1,165
108,2nd,43601,12月1日,T18,1,28,58,12.8,5,2.56,0,165
108,2nd,43601,12月1日,T18,1,29,58,6.3,4,1.575,1,165
108,2nd,43601,12月1日,T18,1,30,58,13.2,5,2.64,0,165
108,2nd,43595,11月1日,T20,1,1,57,2.8,3,0.933333333,1,123.5
108,2nd,43595,11月1日,T20,1,2,57,16,5,3.2,0,123.5
108,2nd,43595,11月1日,T20,1,3,57,7.5,3,2.5,1,123.5
