"date","cultivar","location","season","cutting_height","replication","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100","sample_label"
"43886","台茶12號","6區","第一水",53,"27",6.7,4,13.25,1,106.6,"茶菁3"
"43886","台茶12號","6區","第一水",53,"28",10.8,5,10.6,0,106.6,"茶菁3"
"43886","台茶12號","6區","第一水",53,"29",4.8,3,17.6666666666667,1,106.6,"茶菁3"
"43886","台茶12號","6區","第一水",53,"30",3.5,3,17.6666666666667,1,106.6,"茶菁3"
"43901","青心大冇","10-1","第一水",55,"1",1.2,2,27.5,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"2",4.8,4,13.75,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"3",7.5,4,13.75,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"4",10.2,3,18.3333333333333,0,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"5",12,4,13.75,0,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"6",11.8,4,13.75,0,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"7",6.8,3,18.3333333333333,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"8",15.7,6,9.16666666666667,0,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"9",8.2,4,13.75,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"10",3.7,3,18.3333333333333,1,142.1,"茶菁1"
"43901","青心大冇","10-1","第一水",55,"11",13.6,4,13.75,0,131.8,"茶菁2"
"43901","青心大冇","10-1","第一水",55,"12",6.9,4,13.75,1,131.8,"茶菁2"
"43901","青心大冇","10-1","第一水",55,"13",15.8,5,11,0,131.8,"茶菁2"
"43901","青心大冇","10-1","第一水",55,"14",8.4,4,13.75,1,131.8,"茶菁2"
"43901","青心大冇","10-1","第一水",55,"15",6.9,4,13.75,1,131.8,"茶菁2"
