"","year","season","date","location","cultivar","sample_label","replication","cutting_height","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100"
"61",108,"5th","43775","23","T18",1,5.5,59,8.32,5.4,1.4718571429,0.9,126.1
"62",108,"5th","43775","23","T18",2,15.5,59,8.53,5,1.6911666666,0.3,131.6
"63",108,"5th","43775","23","T18",3,25.5,59,6.9,4.6,1.4351666667,0.7,111.9
"64",108,"5th","43769","10_1","DP",1,5.5,60,7.67,4.2,1.7818333333,0.8,98.6
"65",108,"5th","43769","10_1","DP",2,15.5,60,8.09,4.4,1.7946666667,0.7,92.6
"66",108,"5th","43769","10_1","DP",3,25.5,60,8.15,4.3,1.8321666667,0.7,94.1
"67",108,"6th","43817","10_2","T8",1,5.5,65,2.94,3.7,0.7776666667,0.9,59.1
"68",108,"6th","43817","10_2","T8",2,15.5,65,2.91,3.4,0.8123333333,1,58.3
"69",108,"6th","43817","10_2","T8",3,25.5,65,2.59,3.2,0.8316666666,0.8,67.3
"70",108,"6th","43794","6-3¡B6-4","T12",1,5.5,61,8.54,4.4,1.9133333334,1,108.5
"71",108,"6th","43794","6-3¡B6-4","T12",2,15.5,61,6.15,4.1,1.3776666667,1,101.9
"72",108,"6th","43794","6-3¡B6-4","T12",3,25.5,61,6.41,4,1.5425,1,95.3
"73",108,"6th","43815","3","T17",1,5.5,59,4.58,4.6,0.9596428572,0.9,95.8
"74",108,"6th","43815","3","T17",2,15.5,59,8.93,4.7,1.8245714286,0.2,93.2
"75",108,"6th","43815","3","T17",3,25.5,59,7.34,4.2,1.6808333333,0.2,96.72
"76",108,"6th","43822","2-4,5,6","DP",1,5.5,65,4.76,3.5,1.3553333334,0.9,60.7
"77",108,"6th","43822","2-4,5,6","DP",2,15.5,65,5.96,3.5,1.6551666666,1,61.5
"78",108,"6th","43822","2-4,5,6","DP",3,25.5,65,8.15,4.2,1.8626666667,0.9,74.31
"79",109,"1st","43886","6","T12",1,5.5,53,7.41,4.3,13.7800000006,0.7,118
"80",109,"1st","43886","6","T12",2,15.5,53,7.03,4.4,12.366666667,0.6,121.7
"81",109,"1st","43886","6","T12",3,25.5,53,9.25,4.7,12.0133333339,0.7,106.6
"82",109,"1st","43901","10_1","DP",1,5.5,55,8.19,3.7,16.0416666657,0.6,142.1
"83",109,"1st","43901","10_1","DP",2,15.5,55,10.96,4.4,13.0166666664,0.5,131.8
"84",109,"1st","43901","10_1","DP",3,25.5,55,9.76,4.4,13.1083333327,0.6,123.2
"85",109,"2nd","43929","6","T12",1,5.5,56,8.55,3.5,16.333333335,0,88.1
"86",109,"2nd","43929","6","T12",2,15.5,56,6.99,3.2,18.853333335,0,93.7
"87",109,"2nd","43929","6","T12",3,25.5,56,8.41,3.3,17.733333335,0.2,94.5
"88",109,"2nd","43940","5","FS",1,5.5,58,6.46,3,22.2333333327,0.1,98.6
"89",109,"2nd","43940","5","FS",2,15.5,58,7.04,3.6,17.303333332,0.1,106.9
"90",109,"2nd","43940","5","FS",3,25.5,58,7.68,3.7,17.013333332,0,112.5
"91",109,"2nd","43943","10_1","DP",1,5.5,56,9.59,4.2,14.0933333343,0.2,93.4
"92",109,"2nd","43943","10_1","DP",2,15.5,56,10.63,3.9,14.653333334,0.4,105.9
