month,DAY,MEAN.TEMP,HIGH,LOW,HEAT.DEG.DAYS,COOL.DEG.DAYS,RAIN,SPEED,HIGH.1,RH%,SOLAR RAD(H),SOLAR RAD(MJ/M2)
2019March,9,22.8,28.8,18.4,NA,NA,19.5,1.1,7,83.3,0.8,4.59
2019March,10,22.6,27.8,19.4,NA,NA,19,1.4,10.7,86.5,2,7.81
2019March,11,20.4,24.1,18.5,NA,NA,9,0.8,5.7,91.3,1.2,4.83
2019March,12,21.8,27.7,17.5,NA,NA,0,0.7,6.3,77.5,8,17.84
2019March,13,22.6,28.6,18.6,NA,NA,0,0.8,5.8,68.1,6.2,15.61
2019March,14,22.7,29.3,17.7,NA,NA,0,1.1,7.5,71.3,6.2,16.76
2019March,15,22.2,27.4,19,NA,NA,0,0.9,6,77,3.3,10.86
2019March,16,23.1,28.4,19.7,NA,NA,0,0.8,5.7,68.9,6.1,14.2
2019March,17,23.7,29.2,17.7,NA,NA,0,0.8,5.7,67.5,7.4,18.93
2019March,18,24.1,30.3,18,NA,NA,0,1.1,6.3,71,8.1,17.85
2019March,19,24.5,31.6,19.1,NA,NA,0,0.8,7.1,74.8,9.1,19.28
2019March,20,24.5,30.8,19.7,NA,NA,0,0.9,7.9,77.9,8.4,15.53
2019March,21,25.2,32.9,19,NA,NA,0,1,6,72.9,10.1,21.8
2019March,22,25.3,32.8,17.6,NA,NA,0,1.2,7.5,62.9,9.5,22.54
2019March,23,21.7,24.2,18.7,NA,NA,1,1,3.8,91.3,0,2.07
2019March,24,20,22.2,17.9,NA,NA,0.5,0.6,4.5,91.1,0,2.52
2019March,25,22.9,29.4,16.4,NA,NA,0,1,6.3,77,6.7,15.83
2019March,26,23.4,29.3,17.5,NA,NA,0,0.6,5.9,77.2,5.9,16.37
2019March,27,24.8,30.5,19.5,NA,NA,0,0.8,6.6,75.9,9.7,21.25
2019March,28,25.3,30.7,20.3,NA,NA,0,0.9,5.6,75.9,7.7,18.18
2019March,29,25.9,30.8,21.1,NA,NA,0,1.1,7.7,73.4,7.7,18.42
2019March,30,25.2,29.5,21.8,NA,NA,0,1,7.1,76.6,5,14.03
2019March,31,24.9,30.6,20.6,NA,NA,0,1,7.6,74,6.9,16.97
2019April,1,23.1,28.8,18.9,0,4.5,0,0.1,4,75.3,3.4,9.37
2019April,2,23.7,29,19.7,0,5.3,0,0.2,4.9,74.6,3.9,13.01
2019April,3,25.3,31.8,19.7,0,7,0,0.4,5.4,69.3,10,21.84
2019April,4,24.8,30.3,20.2,0,6.6,0,0.2,4.5,76.3,5.2,12.58
2019April,5,26.2,32.4,21.7,0,7.8,0,0.5,6.7,68.9,9.8,22.1
2019April,6,25.4,31.3,20.8,0,7.1,0,0.2,4,73.4,6.6,17.68
2019April,7,25.9,33,19.8,0,7.6,0,0.4,5.4,69.3,9.5,21.76
2019April,8,26.1,32.9,20.7,0,7.8,0,0.3,4.5,72.2,8.5,19.21
2019April,9,26.8,34.3,20.1,0,8.5,0,0.4,5.4,68.8,10.4,22.47
2019April,10,27.5,35.5,20.4,0,9.2,0,0.3,4,65.4,10.3,22.52
