year,observe_date,cultivar,location_1,location_2,location_3,season,cutting_date,replication,G1L,G2L,G3L,G4L,G5L,G6L,G7L,G8L,G9L,O1L,O2L,O3L,O4L,O5L,O6L,O7L,O8L,O9L
108,43717,T18,2_2,140,中西,4th,2020/7/22,1,0,0,0,0,3,9,6,0,0,0,1,3,9,8,9,1,0,0
108,43717,T18,2_2,120,南中,4th,2020/7/22,2,0,0,0,2,2,8,3,0,0,0,0,3,5,18,15,2,0,0
108,43717,T18,1_2,119,北東,4th,2020/7/22,3,0,0,1,3,13,12,0,0,0,0,0,1,11,19,5,0,0,0
108,43682,FS,5_1,30,北東,4th,2020/6/21,1,0,0,1,1,4,8,6,2,0,0,0,2,2,10,4,2,0,0
108,43682,FS,5_2,100,中中,4th,2020/6/21,2,0,0,0,1,1,4,1,0,0,0,0,0,11,25,10,5,0,0
108,43682,FS,5_2,120,南西,4th,2020/6/21,3,0,0,0,2,1,8,5,3,0,0,0,0,11,10,7,3,0,0
108,43761,T8,10_2,229,中南,5th,2020/9/2,1,0,0,3,0,4,2,1,0,0,0,1,14,19,8,5,1,0,0
108,43761,T8,10_2,199,東中,5th,2020/9/2,2,0,0,0,0,0,1,1,0,0,0,1,11,21,16,8,2,0,0
108,43761,T8,10_2,170,西北,5th,2020/9/2,3,0,0,1,2,7,1,0,0,0,0,0,8,17,10,7,1,0,0
108,43742,T12,6_3,50,南西,5th,2020/8/8,1,0,0,0,1,1,8,13,6,0,0,0,2,4,5,4,0,0,0
108,43742,T12,6_4,129,中中,5th,2020/8/8,2,0,0,0,0,0,2,2,1,0,0,1,5,8,13,5,4,0,0
108,43742,T12,6_4,110,北東,5th,2020/8/8,3,0,0,0,0,1,3,2,1,0,0,0,8,17,20,11,4,0,0
108,43774,T18,2_2,160,南西,5th,2020/9/17,1,0,0,0,0,3,3,0,1,0,0,0,0,8,14,7,4,2,0
108,43774,T18,2_2,140,中中,5th,2020/9/17,2,0,0,0,1,7,4,0,0,0,0,0,2,23,13,15,1,0,0
108,43774,T18,1_2,140,北東,5th,2020/9/17,3,0,0,0,9,6,4,0,0,0,0,0,1,13,15,6,2,0,0
108,43769,DP,,220,南西,5th,2020/9/10,1,0,0,0,0,4,4,3,2,0,0,0,10,20,7,2,0,0,0
108,43769,DP,,200,中中,5th,2020/9/10,2,0,0,0,0,4,6,7,1,0,0,1,3,17,10,0,1,0,0
108,43769,DP,,180,北東,5th,2020/9/10,3,0,0,0,0,5,3,1,0,0,0,1,6,18,7,4,0,0,0
108,43817,T8,,31,東北,6th,2020/10/22,1,0,0,4,1,0,0,0,0,0,0,1,12,16,1,0,0,0,0
108,43817,T8,,51,中中,6th,2020/10/22,2,0,0,0,2,0,0,0,0,0,0,5,17,21,9,1,0,0,0
108,43817,T8,,71,西南,6th,2020/10/22,3,0,0,1,0,0,0,0,0,0,0,4,15,19,4,0,0,0,0
108,43794,T12,6_3,20,南西,6th,2020/10/4,1,0,0,0,0,0,0,0,0,0,0,0,13,28,17,2,0,0,0
108,43794,T12,6_4,90,中中,6th,2020/10/4,2,0,0,0,0,0,0,0,0,0,0,0,15,17,18,6,0,0,0
108,43794,T12,6_4,70,北東,6th,2020/10/4,3,0,0,0,0,0,0,0,0,0,0,2,9,20,32,10,0,0,0
108,43815,T17,3_3,156,西南,6th,2020/9/6,1,0,0,0,0,1,3,2,0,0,0,0,0,6,6,14,1,0,0
108,43815,T17,3_2,130,中中,6th,2020/9/6,2,0,0,1,2,5,5,2,0,0,0,0,2,6,9,1,0,0,0
108,43815,T17,3_1,103,東北,6th,2020/9/6,3,0,0,4,5,7,2,0,0,0,0,1,1,4,1,0,0,0,0
108,43822,DP,2_4,100,東南,6th,2020/10/30,1,0,0,0,0,1,0,0,0,0,0,1,19,26,13,0,0,0,0
108,43822,DP,2_6,051(=2-5 081),西中,6th,2020/10/30,2,0,0,0,0,0,0,0,0,0,0,4,50,19,1,0,0,0,0
